Repository,File Name,Type,Name,Line,End Line,Complexity,Rank,Parent,Error
python-mini-projects,export_mysql_data_to_csv.py,function,sql,15,23,1,A,,
python-mini-projects,export_mysql_data_to_csv.py,function,upload_file_robots,36,42,1,A,,
python-mini-projects,export_mysql_data_to_csv.py,function,send_file_robots,45,50,1,A,,
python-mini-projects,make_art.py,function,print_out_ascii,11,18,3,A,,
python-mini-projects,make_art.py,function,img_to_ascii,21,38,2,A,,
python-mini-projects,tic-tac-toe-AI.py,function,win_check,154,168,24,D,,
python-mini-projects,tic-tac-toe-AI.py,function,CompAI,95,124,14,C,,
python-mini-projects,tic-tac-toe-AI.py,function,choice,37,63,7,B,,
python-mini-projects,tic-tac-toe-AI.py,function,player_choice,81,91,6,B,,
python-mini-projects,tic-tac-toe-AI.py,function,full_board_check,146,151,3,A,,
python-mini-projects,tic-tac-toe-AI.py,function,delay,170,173,2,A,,
python-mini-projects,tic-tac-toe-AI.py,function,default,8,10,1,A,,
python-mini-projects,tic-tac-toe-AI.py,function,rules,13,21,1,A,,
python-mini-projects,tic-tac-toe-AI.py,function,play,24,26,1,A,,
python-mini-projects,tic-tac-toe-AI.py,function,names,29,34,1,A,,
python-mini-projects,tic-tac-toe-AI.py,function,first_player,67,70,1,A,,
python-mini-projects,tic-tac-toe-AI.py,function,display_board,73,78,1,A,,
python-mini-projects,tic-tac-toe-AI.py,function,selectRandom,128,132,1,A,,
python-mini-projects,tic-tac-toe-AI.py,function,place_marker,135,138,1,A,,
python-mini-projects,tic-tac-toe-AI.py,function,space_check,141,143,1,A,,
python-mini-projects,tic-tac-toe-AI.py,function,replay,175,177,1,A,,
python-mini-projects,wiki-search-cloud.py,function,gen_cloud,11,20,2,A,,
python-mini-projects,wiki-search-cloud.py,function,save_cloud,24,25,1,A,,
python-mini-projects,wiki-search-cloud.py,function,show_cloud,29,32,1,A,,
python-mini-projects,main.py,function,Exploit,40,55,4,A,,
python-mini-projects,alarm.py,function,set_alarm,18,66,10,B,,
python-mini-projects,alarm.py,function,rename_files_with_whitespaces,7,11,3,A,,
python-mini-projects,alarm.py,function,clean_filename,14,15,1,A,,
python-mini-projects,alarm.py,function,display_header,68,72,1,A,,
python-mini-projects,split_and_copy.py,function,split,32,41,3,A,,
python-mini-projects,split_and_copy.py,function,start_process,44,51,3,A,,
python-mini-projects,split_and_copy.py,function,copyfiles,22,29,2,A,,
python-mini-projects,split_and_copy.py,function,get_files,7,12,1,A,,
python-mini-projects,split_and_copy.py,function,getfullpath,15,19,1,A,,
python-mini-projects,password_generator.py,class,App,5,37,2,A,,
python-mini-projects,password_generator.py,method,generate_password,31,37,2,A,,
python-mini-projects,password_generator.py,method,__init__,6,17,1,A,,
python-mini-projects,password_generator.py,method,label,19,21,1,A,,
python-mini-projects,password_generator.py,method,entry,23,25,1,A,,
python-mini-projects,password_generator.py,method,button,27,29,1,A,,
python-mini-projects,zipfiles.py,function,retrieve_file_paths,14,26,3,A,,
python-mini-projects,zipfiles.py,function,zip_dir,29,35,2,A,,
python-mini-projects,zipfiles.py,function,zip_file,7,10,1,A,,
python-mini-projects,Mastermind_GUIinterface.py,method,guess,51,86,7,B,,
python-mini-projects,Mastermind_GUIinterface.py,class,MasterMind,22,96,5,A,,
python-mini-projects,Mastermind_GUIinterface.py,class,medium,2,21,4,A,,
python-mini-projects,Mastermind_GUIinterface.py,method,compare,14,21,4,A,,
python-mini-projects,Mastermind_GUIinterface.py,method,__init__,23,50,4,A,,
python-mini-projects,Mastermind_GUIinterface.py,method,__init__,5,13,3,A,,
python-mini-projects,Mastermind_GUIinterface.py,method,hint,89,96,2,A,,
python-mini-projects,Mastermind_GUIinterface.py,method,user,3,4,1,A,,
python-mini-projects,get_meta_from_pic.py,function,get_labeled_exif,14,19,2,A,,
python-mini-projects,get_meta_from_pic.py,function,get_exif,9,11,1,A,,
python-mini-projects,author_utils.py,function,get_author,160,171,4,A,,
python-mini-projects,author_utils.py,class,SID_NAME_USE,31,48,3,A,,
python-mini-projects,author_utils.py,method,__init__,36,40,3,A,,
python-mini-projects,author_utils.py,class,PLOCAL,52,61,3,A,,
python-mini-projects,author_utils.py,method,__del__,58,61,3,A,,
python-mini-projects,author_utils.py,class,PSID,65,78,3,A,,
python-mini-projects,author_utils.py,method,__str__,69,78,3,A,,
python-mini-projects,author_utils.py,class,PSECURITY_DESCRIPTOR,80,101,3,A,,
python-mini-projects,author_utils.py,method,get_owner,93,96,3,A,,
python-mini-projects,author_utils.py,method,get_group,98,101,3,A,,
python-mini-projects,author_utils.py,function,_check_bool,103,106,2,A,,
python-mini-projects,author_utils.py,function,get_file_security,148,158,2,A,,
python-mini-projects,author_utils.py,method,__str__,42,45,2,A,,
python-mini-projects,author_utils.py,function,look_up_account_sid,137,146,1,A,,
python-mini-projects,author_utils.py,method,__repr__,47,48,1,A,,
python-mini-projects,author_utils.py,method,__init__,54,56,1,A,,
python-mini-projects,author_utils.py,method,__init__,66,67,1,A,,
python-mini-projects,author_utils.py,method,__init__,81,91,1,A,,
python-mini-projects,gps_utils.py,function,format_lati_long,5,15,3,A,,
python-mini-projects,gps_utils.py,function,get_location,17,23,1,A,,
python-mini-projects,main.py,function,run,7,15,2,A,,
python-mini-projects,util.py,function,get_baidu_poi,7,47,5,A,,
python-mini-projects,encrypt.py,function,encrypt_dir,8,13,3,A,,
python-mini-projects,encrypt.py,function,encrypt_file,16,30,1,A,,
python-mini-projects,plag.py,function,check_plagiarism,21,32,3,A,,
python-mini-projects,plag.py,function,vectorize,12,12,1,A,,
python-mini-projects,plag.py,function,similarity,13,13,1,A,,
python-mini-projects,PowerOptions.py,function,shutdown,4,10,4,A,,
python-mini-projects,PowerOptions.py,function,restart,12,18,4,A,,
python-mini-projects,Sending_mail.py,function,send_mail,23,48,2,A,,
python-mini-projects,Sending_mail.py,function,get_credentials,6,10,1,A,,
python-mini-projects,Sending_mail.py,function,login,13,20,1,A,,
python-mini-projects,main.py,function,readdirectory,30,38,3,A,,
python-mini-projects,main.py,function,createfolder,42,52,3,A,,
python-mini-projects,main.py,function,getfoldername,16,27,2,A,,
python-mini-projects,main.py,function,movetofolder,56,69,2,A,,
python-mini-projects,ussdtim.py,function,transf,96,123,7,B,,
python-mini-projects,ussdtim.py,function,log_in,167,186,5,A,,
python-mini-projects,ussdtim.py,function,upgrade_migrate,55,70,4,A,,
python-mini-projects,ussdtim.py,function,balance,72,94,4,A,,
python-mini-projects,ussdtim.py,function,funds,125,137,3,A,,
python-mini-projects,ussdtim.py,function,exit,157,164,3,A,,
python-mini-projects,ussdtim.py,function,BVN_checker,20,23,2,A,,
python-mini-projects,ussdtim.py,function,open_acct,26,53,2,A,,
python-mini-projects,ussdtim.py,function,options_menu,142,154,2,A,,
python-mini-projects,calculator.py,function,calc,21,29,2,A,,
python-mini-projects,calculator.py,function,get_input,8,9,1,A,,
python-mini-projects,calculator.py,function,backspace,12,14,1,A,,
python-mini-projects,calculator.py,function,clear,17,18,1,A,,
python-mini-projects,calculator.py,function,popupmsg,32,40,1,A,,
python-mini-projects,calculator.py,function,cal,43,133,1,A,,
python-mini-projects,calculator.py,function,quit,128,129,1,A,cal,
python-mini-projects,digital_clock.py,function,light_theme,5,16,1,A,,
python-mini-projects,digital_clock.py,function,time,12,15,1,A,light_theme,
python-mini-projects,digital_clock.py,function,dark_theme,19,30,1,A,,
python-mini-projects,digital_clock.py,function,time,26,29,1,A,dark_theme,
python-mini-projects,digital_clock.py,function,time,44,47,1,A,,
python-mini-projects,scraping_medium.py,function,collect_text,33,57,5,A,,
python-mini-projects,scraping_medium.py,function,get_page,11,21,2,A,,
python-mini-projects,scraping_medium.py,function,purify,24,30,2,A,,
python-mini-projects,scraping_medium.py,function,save_file,60,66,2,A,,
python-mini-projects,simple-bot.py,function,on_message,4,6,2,A,,
python-mini-projects,simple-bot.py,function,main,8,11,1,A,,
python-mini-projects,bot.py,method,on_message,41,171,34,E,,
