case,project,file,file_name,class,start_line,end_line,displacement,level,level_num,source_file
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,20,20,28,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,13,13,32,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,15,15,16,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,21,21,11,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,21,21,63,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,14,14,15,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,14,14,67,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Assignment,26,26,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Assignment,27,27,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Assigment with sum (total = total + 1),7,7,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Assignment,8,8,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Assignment,19,19,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Assigment with sum (total = total + 1),20,20,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Assignment,12,12,12,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Assigment with sum (total = total + 1),13,13,12,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Assignment,15,15,16,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple If statements,21,22,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple If statements,14,15,12,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,1 Nested For Loop,10,15,4,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple For Loop,18,22,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple For Loop,11,15,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Function with Simple argument,6,24,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Return,24,24,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Return,22,22,12,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,7 Nested List,25,25,8,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,3 Nested List,26,26,19,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,25,25,9,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,25,25,18,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,25,25,27,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,25,25,36,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,25,25,46,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,25,25,56,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,25,25,66,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,26,26,20,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,26,26,30,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,26,26,40,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,6,6,15,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,21,21,19,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Tuple,18,18,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Tuple,11,11,12,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Print,28,28,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Print,29,29,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,'range' call function,9,9,13,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Unary Operation,25,25,41,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Unary Operation,25,25,51,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Unary Operation,25,25,61,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Unary Operation,26,26,25,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Unary Operation,26,26,35,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Unary Operation,21,21,20,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Boolean Operation,20,20,11,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Boolean Operation,13,13,15,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,7,7,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
