Repository,File Name,Class,Start Line,End Line,Displacement,Level
blurb_it,__main__.py,Simple List,250,250,19,A1
blurb_it,__main__.py,Simple List,236,239,20,A1
blurb_it,__main__.py,Simple Dictionary,34,34,14,A2
blurb_it,__main__.py,Simple Dictionary,51,51,14,A2
blurb_it,__main__.py,Simple Dictionary,63,63,14,A2
blurb_it,__main__.py,Simple Dictionary,78,78,14,A2
blurb_it,__main__.py,Simple Dictionary,163,163,18,A2
blurb_it,__main__.py,Simple Dictionary,97,101,22,A2
blurb_it,__main__.py,Simple Dictionary,195,200,27,A2
blurb_it,__main__.py,Formatted Value,220,220,65,A1
blurb_it,__main__.py,Formatted Value,191,191,68,A1
blurb_it,__main__.py,Formatted Value,211,211,65,A1
blurb_it,__main__.py,Formatted Value,203,203,33,A1
blurb_it,__main__.py,Formatted Value,203,203,62,A1
blurb_it,__main__.py,Joined String,220,220,24,A1
blurb_it,__main__.py,Joined String,191,191,38,A1
blurb_it,__main__.py,Joined String,211,211,24,A1
blurb_it,__main__.py,Joined String,203,203,24,A1
blurb_it,__main__.py,Print,206,206,20,A1
blurb_it,__main__.py,Print,207,207,20,A1
blurb_it,__main__.py,Print,208,208,20,A1
blurb_it,__main__.py,Simple Atributte,22,22,9,A2
blurb_it,__main__.py,Simple Atributte,25,25,0,A2
blurb_it,__main__.py,Simple Atributte,28,28,1,A2
blurb_it,__main__.py,Simple Atributte,48,48,1,A2
blurb_it,__main__.py,Simple Atributte,58,58,1,A2
blurb_it,__main__.py,Simple Atributte,73,73,1,A2
blurb_it,__main__.py,Simple Atributte,144,144,1,A2
blurb_it,__main__.py,Simple Atributte,25,25,16,A2
blurb_it,__main__.py,Simple Atributte,35,35,27,A2
blurb_it,__main__.py,Simple Atributte,36,36,25,A2
blurb_it,__main__.py,Simple Atributte,52,52,27,A2
blurb_it,__main__.py,Simple Atributte,53,53,25,A2
blurb_it,__main__.py,Simple Atributte,54,54,15,A2
blurb_it,__main__.py,Simple Atributte,64,64,27,A2
blurb_it,__main__.py,Simple Atributte,65,65,25,A2
blurb_it,__main__.py,Simple Atributte,69,69,15,A2
blurb_it,__main__.py,Simple Atributte,76,76,12,A2
blurb_it,__main__.py,Simple Atributte,130,130,15,A2
blurb_it,__main__.py,Simple Atributte,137,137,17,A2
blurb_it,__main__.py,Simple Atributte,232,232,17,A2
blurb_it,__main__.py,Simple Atributte,233,233,17,A2
blurb_it,__main__.py,Simple Atributte,235,235,10,A2
blurb_it,__main__.py,Simple Atributte,242,242,4,A2
blurb_it,__main__.py,Simple Atributte,245,245,29,A2
blurb_it,__main__.py,Simple Atributte,246,246,11,A2
blurb_it,__main__.py,Simple Atributte,249,249,4,A2
blurb_it,__main__.py,Simple Atributte,250,250,4,A2
blurb_it,__main__.py,Simple Atributte,251,251,4,A2
blurb_it,__main__.py,Simple Atributte,25,25,16,A2
blurb_it,__main__.py,Simple Atributte,35,35,27,A2
blurb_it,__main__.py,Simple Atributte,36,36,25,A2
blurb_it,__main__.py,Simple Atributte,37,37,7,A2
blurb_it,__main__.py,Simple Atributte,37,37,43,A2
