Repository,File Name,Class,Start Line,End Line,Displacement,Level
04-Multiply-Two-Values,test.py,Simple Atributte,28,28,1,A2
04-Multiply-Two-Values,test.py,Simple Atributte,36,36,1,A2
04-Multiply-Two-Values,test.py,Simple Atributte,9,9,7,A2
04-Multiply-Two-Values,test.py,Simple Atributte,9,9,23,A2
04-Multiply-Two-Values,test.py,Simple Atributte,31,31,18,A2
04-Multiply-Two-Values,test.py,Simple Atributte,33,33,16,A2
04-Multiply-Two-Values,test.py,Simple Atributte,39,39,18,A2
04-Multiply-Two-Values,test.py,Simple Atributte,9,9,23,A2
04-Multiply-Two-Values,test.py,Simple Atributte,34,34,20,A2
04-Multiply-Two-Values,test.py,Simple Assignment,3,3,0,A1
04-Multiply-Two-Values,test.py,Assigment with sum (total = total + 1),9,9,0,A1
04-Multiply-Two-Values,test.py,Simple Assignment,20,20,4,A1
04-Multiply-Two-Values,test.py,Simple Assignment,25,25,4,A1
04-Multiply-Two-Values,test.py,Simple Assignment,31,31,8,A1
04-Multiply-Two-Values,test.py,Simple Assignment,33,33,8,A1
04-Multiply-Two-Values,test.py,Simple Assignment,39,39,8,A1
04-Multiply-Two-Values,test.py,'raise' exception,16,16,8,B1
04-Multiply-Two-Values,test.py,'assert' exception,21,21,4,B2
04-Multiply-Two-Values,test.py,'assert' exception,26,26,4,B2
04-Multiply-Two-Values,test.py,'assert' exception,34,34,8,B2
04-Multiply-Two-Values,test.py,'assert' exception,41,41,8,B2
04-Multiply-Two-Values,test.py,Import,1,1,0,A2
04-Multiply-Two-Values,test.py,Import,2,2,0,A2
04-Multiply-Two-Values,test.py,Import,5,5,0,A2
04-Multiply-Two-Values,test.py,Import,6,6,0,A2
04-Multiply-Two-Values,test.py,Import,7,7,0,A2
04-Multiply-Two-Values,test.py,Import're' module,8,8,0,C1
04-Multiply-Two-Values,test.py,From,14,14,8,A2
04-Multiply-Two-Values,test.py,Alias,1,1,7,A1
04-Multiply-Two-Values,test.py,Alias,2,2,7,A1
04-Multiply-Two-Values,test.py,Alias,5,5,7,A1
04-Multiply-Two-Values,test.py,Alias,6,6,7,A1
04-Multiply-Two-Values,test.py,Alias,7,7,7,A1
04-Multiply-Two-Values,test.py,Alias,8,8,7,A1
04-Multiply-Two-Values,test.py,Alias,14,14,24,A1
04-Multiply-Two-Values,test.py,Exception --> try/except,13,16,4,B1
04-Multiply-Two-Values,test.py,With,30,34,4,B1
04-Multiply-Two-Values,test.py,With,38,41,4,B1
04-Multiply-Two-Values,test.py,Except Handler,15,16,4,A1
04-Multiply-Two-Values,test.py,Function,12,16,0,A1
04-Multiply-Two-Values,test.py,Function,19,21,0,A1
04-Multiply-Two-Values,test.py,Function with Simple argument,24,26,0,A1
04-Multiply-Two-Values,test.py,Function,29,34,0,A1
04-Multiply-Two-Values,test.py,Function,37,41,0,A1
04-Multiply-Two-Values,solution.hide.py,Print,4,4,0,A1
04-Multiply-Two-Values,solution.hide.py,Assigment with sum (total = total + 1),3,3,0,A1
06-String-Concatenation,test.py,Simple Atributte,2,2,0,A2
06-String-Concatenation,test.py,Simple Atributte,2,2,22,A2
06-String-Concatenation,test.py,Simple Atributte,6,6,1,A2
06-String-Concatenation,test.py,Simple Atributte,13,13,1,A2
06-String-Concatenation,test.py,Simple Atributte,20,20,1,A2
06-String-Concatenation,test.py,Simple Atributte,25,25,1,A2
06-String-Concatenation,test.py,Simple Atributte,30,30,1,A2
06-String-Concatenation,test.py,Simple Atributte,38,38,1,A2
06-String-Concatenation,test.py,Simple Atributte,6,6,1,A2
06-String-Concatenation,test.py,Simple Atributte,13,13,1,A2
06-String-Concatenation,test.py,Simple Atributte,20,20,1,A2
06-String-Concatenation,test.py,Simple Atributte,25,25,1,A2
06-String-Concatenation,test.py,Simple Atributte,34,34,8,A2
06-String-Concatenation,test.py,Simple Atributte,30,30,1,A2
06-String-Concatenation,test.py,Simple Atributte,40,40,15,A2
06-String-Concatenation,test.py,Simple Atributte,38,38,1,A2
06-String-Concatenation,test.py,Simple Atributte,23,23,12,A2
06-String-Concatenation,test.py,Simple Atributte,28,28,13,A2
06-String-Concatenation,test.py,Simple Atributte,41,41,30,A2
06-String-Concatenation,test.py,Simple Assignment,2,2,0,A1
06-String-Concatenation,test.py,Simple Assignment,40,40,4,A1
06-String-Concatenation,test.py,'raise' exception,11,11,8,B1
06-String-Concatenation,test.py,'raise' exception,18,18,8,B1
06-String-Concatenation,test.py,'raise' exception,36,36,8,B1
06-String-Concatenation,test.py,'assert' exception,23,23,4,B2
06-String-Concatenation,test.py,'assert' exception,28,28,4,B2
06-String-Concatenation,test.py,'assert' exception,41,41,4,B2
06-String-Concatenation,test.py,Import're' module,1,1,0,C1
06-String-Concatenation,test.py,Import,4,4,0,A2
06-String-Concatenation,test.py,Import,32,32,4,A2
06-String-Concatenation,test.py,From,22,22,4,A2
06-String-Concatenation,test.py,From,27,27,4,A2
06-String-Concatenation,test.py,From,9,9,8,A2
06-String-Concatenation,test.py,From,16,16,8,A2
06-String-Concatenation,test.py,Alias,1,1,7,A1
06-String-Concatenation,test.py,Alias,1,1,11,A1
06-String-Concatenation,test.py,Alias,1,1,16,A1
06-String-Concatenation,test.py,Alias,1,1,20,A1
