case,file,file_name,function,parent,lineno,endline,complexity,rank,rank_num,n_pycefr_constructs,n_pycefr_classes,max_level_num,max_level,mean_level_num,level_counts,top_classes
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/06-String-Concatenation/test.py,test.py,test_my_var2_exists,,14,18,2,A,1,110,15,4.0,B2,1.9727272727272727,"{""A2"": 51, ""A1"": 34, ""B1"": 19, ""B2"": 6}","{""Simple Atributte"": 39, ""Simple Assignment"": 13, ""'raise' exception"": 12, ""Except Handler"": 12, ""Alias"": 6, ""Exception --> try/except"": 6, ""'assert' exception"": 6, ""From"": 5, ""Files --> 'open' call function"": 3, ""Files --> 'read' call function"": 3}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/06-String-Concatenation/test.py,test.py,test_my_var1_value,,21,21,2,A,1,18,5,4.0,B2,1.9444444444444444,"{""A2"": 14, ""A1"": 3, ""B2"": 1}","{""Simple Atributte"": 9, ""Files --> 'open' call function"": 4, ""Simple Assignment"": 3, ""'assert' exception"": 1, ""Files --> 'read' call function"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/06-String-Concatenation/test.py,test.py,test_my_var2_value,,26,26,2,A,1,18,5,4.0,B2,2.0555555555555554,"{""A2"": 11, ""A1"": 4, ""B2"": 2, ""B1"": 1}","{""Simple Atributte"": 11, ""Simple Assignment"": 3, ""'assert' exception"": 2, ""'raise' exception"": 1, ""Subscript"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/06-String-Concatenation/test.py,test.py,test_the_new_string_exists,,31,36,2,A,1,88,21,5.0,C1,1.8409090909090908,"{""A2"": 44, ""A1"": 33, ""B2"": 6, ""B1"": 4, ""C1"": 1}","{""Simple Atributte"": 34, ""Simple Assignment"": 17, ""'assert' exception"": 6, ""Files --> 'read' call function"": 3, ""'raise' exception"": 3, ""Subscript"": 3, ""Files --> 'open' call function"": 2, ""Alias"": 2, ""Except Handler"": 2, ""Function"": 2}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/06-String-Concatenation/test.py,test.py,test_for_file_output,,39,39,2,A,1,8,4,2.0,A2,1.625,"{""A2"": 5, ""A1"": 3}","{""Simple Assignment"": 3, ""Files --> 'read' call function"": 2, ""Simple Atributte"": 2, ""Simplified incremental Assignment with increase amount"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/09-Random-Numbers/test.py,test.py,test_function_return_no_static,,40,50,5,A,1,59,14,4.0,B2,2.0,"{""A2"": 29, ""A1"": 19, ""B2"": 8, ""B1"": 3}","{""Simple Atributte"": 24, ""Simple Assignment"": 13, ""'assert' exception"": 8, ""Function"": 3, ""Simplified incremental Assignment with increase amount"": 2, ""'range' call function"": 1, ""'raise' exception"": 1, ""Simple If statements"": 1, ""Simple For Loop"": 1, ""Exception --> try/except"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/09-Random-Numbers/test.py,test.py,test_function_returns_random_integer,,29,36,4,A,1,132,24,5.0,C1,1.9545454545454546,"{""A2"": 65, ""A1"": 46, ""B2"": 11, ""B1"": 6, ""C1"": 4}","{""Simple Atributte"": 52, ""Simple Assignment"": 25, ""'assert' exception"": 11, ""Function"": 4, ""'range' call function"": 4, ""Files --> 'open' call function"": 3, ""Files --> 'read' call function"": 3, ""'raise' exception"": 3, ""Except Handler"": 3, ""Boolean Operation"": 3}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/09-Random-Numbers/test.py,test.py,test_function_exists,,22,26,3,A,1,122,18,5.0,C1,2.040983606557377,"{""A2"": 64, ""A1"": 36, ""B2"": 17, ""B1"": 4, ""C1"": 1}","{""Simple Atributte"": 53, ""Simple Assignment"": 24, ""'assert' exception"": 17, ""Files --> 'read' call function"": 6, ""Subscript"": 4, ""From"": 2, ""Alias"": 2, ""Function with Simple argument"": 2, ""'raise' exception"": 2, ""Files --> 'open' call function"": 2}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/09-Random-Numbers/test.py,test.py,test_only_change_line_5,,13,18,2,A,1,131,16,4.0,B2,1.9923664122137406,"{""A2"": 59, ""A1"": 40, ""B1"": 25, ""B2"": 7}","{""Simple Atributte"": 46, ""Simple Assignment"": 14, ""'raise' exception"": 12, ""Except Handler"": 12, ""Exception --> try/except"": 10, ""'assert' exception"": 7, ""Alias"": 6, ""From"": 5, ""Function"": 5, ""Files --> 'open' call function"": 4}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/09-Random-Numbers/solution.hide.py,solution.hide.py,get_randomInt,,3,6,1,A,1,49,11,2.0,A2,1.183673469387755,"{""A1"": 40, ""A2"": 9}","{""Simple Assignment"": 16, ""Print"": 11, ""Simple Atributte"": 4, ""Return"": 4, ""'range' call function"": 4, ""Function"": 3, ""Assigment with sum (total = total + 1)"": 2, ""Simple For Loop"": 2, ""Boolean Operation"": 1, ""Simplified incremental Assignment with increase amount"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/09-Random-Numbers/app.py,app.py,get_randomInt,,3,6,1,A,1,19,6,2.0,A2,1.105263157894737,"{""A1"": 17, ""A2"": 2}","{""Simple Assignment"": 8, ""Print"": 3, ""Return"": 3, ""Simple Atributte"": 2, ""Function"": 2, ""Assigment with sum (total = total + 1)"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/03-Print-Variables-In-The-Console/test.py,test.py,test_declare_variable,,12,12,2,A,1,14,1,2.0,A2,2.0,"{""A2"": 14}","{""Simple Atributte"": 14}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/03-Print-Variables-In-The-Console/test.py,test.py,test_declare_variable,,17,17,2,A,1,23,7,4.0,B2,2.3043478260869565,"{""A2"": 13, ""B1"": 4, ""A1"": 3, ""B2"": 3}","{""Simple Atributte"": 11, ""'raise' exception"": 4, ""'assert' exception"": 3, ""Simple Assignment"": 2, ""Import"": 1, ""Alias"": 1, ""Files --> 'open' call function"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/03-Print-Variables-In-The-Console/test.py,test.py,test_for_file_output,,22,22,2,A,1,33,10,4.0,B2,1.9090909090909092,"{""A2"": 19, ""A1"": 10, ""B2"": 3, ""B1"": 1}","{""Simple Atributte"": 12, ""Simple Assignment"": 6, ""Files --> 'read' call function"": 4, ""'assert' exception"": 3, ""From"": 2, ""Alias"": 2, ""Files --> 'open' call function"": 1, ""Assigment with sum (total = total + 1)"": 1, ""'raise' exception"": 1, ""Subscript"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/17-Russian-Roulette/test.py,test.py,test_for_file_output,,27,27,5,A,1,13,6,4.0,B2,2.3076923076923075,"{""A2"": 8, ""B2"": 3, ""A1"": 2}","{""Simple Atributte"": 6, ""'assert' exception"": 3, ""Boolean Operation"": 1, ""From"": 1, ""Alias"": 1, ""Files --> 'open' call function"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/17-Russian-Roulette/test.py,test.py,test_function_output,,20,21,4,A,1,36,7,4.0,B2,1.8611111111111112,"{""A2"": 28, ""A1"": 7, ""B2"": 1}","{""Simple Atributte"": 22, ""Simple Assignment"": 5, ""Files --> 'open' call function"": 5, ""'assert' exception"": 1, ""Assigment with sum (total = total + 1)"": 1, ""Subscript"": 1, ""Files --> 'read' call function"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/17-Russian-Roulette/test.py,test.py,test_function_spin_chamber,,12,12,2,A,1,14,1,2.0,A2,2.0,"{""A2"": 14}","{""Simple Atributte"": 14}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/17-Russian-Roulette/test.py,test.py,test_function_fire_gun,,16,16,2,A,1,18,7,4.0,B2,2.0,"{""A2"": 9, ""A1"": 5, ""B1"": 3, ""B2"": 1}","{""Simple Atributte"": 7, ""Simple Assignment"": 4, ""'raise' exception"": 3, ""From"": 1, ""Alias"": 1, ""Files --> 'read' call function"": 1, ""'assert' exception"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/17-Russian-Roulette/solution.hide.py,solution.hide.py,fire_gun,,10,15,2,A,1,11,7,2.0,A2,1.1818181818181819,"{""A1"": 9, ""A2"": 2}","{""Return"": 4, ""Print"": 2, ""Simple If statements"": 1, ""Function"": 1, ""Simplified incremental Assignment with increase amount"": 1, ""Assigment with sum (total = total + 1)"": 1, ""Simple Atributte"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/17-Russian-Roulette/solution.hide.py,solution.hide.py,spin_chamber,,5,7,1,A,1,27,7,2.0,A2,1.1851851851851851,"{""A1"": 22, ""A2"": 5}","{""Simple Assignment"": 8, ""Print"": 7, ""Simple Atributte"": 4, ""Return"": 4, ""Function"": 2, ""Assigment with sum (total = total + 1)"": 1, ""Simplified incremental Assignment with increase amount"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/17-Russian-Roulette/app.py,app.py,spin_chamber,,5,7,1,A,1,14,6,2.0,A2,1.1428571428571428,"{""A1"": 12, ""A2"": 2}","{""Simple Assignment"": 6, ""Return"": 3, ""Simple Atributte"": 2, ""Print"": 1, ""Assigment with sum (total = total + 1)"": 1, ""Function"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/17-Russian-Roulette/app.py,app.py,fire_gun,,10,12,1,A,1,2,2,1.0,A1,1.0,"{""A1"": 2}","{""Function"": 1, ""Return"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/14-Create-A-For-Loop/test.py,test.py,test_for_file_output,,27,27,5,A,1,13,6,4.0,B2,2.3076923076923075,"{""A2"": 8, ""B2"": 3, ""A1"": 2}","{""Simple Atributte"": 6, ""'assert' exception"": 3, ""Boolean Operation"": 1, ""From"": 1, ""Alias"": 1, ""Files --> 'open' call function"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/14-Create-A-For-Loop/test.py,test.py,test_variable_exists,,13,17,2,A,1,111,16,4.0,B2,2.027027027027027,"{""A2"": 51, ""A1"": 32, ""B1"": 21, ""B2"": 7}","{""Simple Atributte"": 38, ""'raise' exception"": 10, ""Except Handler"": 10, ""Simple Assignment"": 10, ""Exception --> try/except"": 8, ""'assert' exception"": 7, ""Alias"": 6, ""From"": 5, ""Files --> 'open' call function"": 4, ""Files --> 'read' call function"": 3}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/14-Create-A-For-Loop/test.py,test.py,test_for_loop,,20,23,2,A,1,100,16,5.0,C1,1.88,"{""A2"": 59, ""A1"": 31, ""B2"": 7, ""B1"": 2, ""C1"": 1}","{""Simple Atributte"": 44, ""Simple Assignment"": 19, ""'assert' exception"": 7, ""Files --> 'open' call function"": 7, ""Files --> 'read' call function"": 6, ""Subscript"": 3, ""From"": 2, ""Alias"": 2, ""Function with Simple argument"": 2, ""Assigment with sum (total = total + 1)"": 2}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/14-Create-A-For-Loop/test.py,test.py,test_for_print,,37,40,2,A,1,32,6,4.0,B2,1.90625,"{""A2"": 23, ""A1"": 7, ""B2"": 2}","{""Simple Atributte"": 15, ""Simple Assignment"": 7, ""Files --> 'open' call function"": 3, ""Files --> 'read' call function"": 3, ""'assert' exception"": 2, ""Simplified incremental Assignment with increase amount"": 2}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/14-Create-A-For-Loop/test.py,test.py,test_callTheFunction,,44,48,2,A,1,23,9,4.0,B2,1.826086956521739,"{""A2"": 13, ""A1"": 8, ""B2"": 2}","{""Simple Atributte"": 9, ""Simple Assignment"": 6, ""'assert' exception"": 2, ""'range' call function"": 1, ""Simplified incremental Assignment with increase amount"": 1, ""Simple If statements"": 1, ""Simple For Loop"": 1, ""Files --> 'open' call function"": 1, ""Files --> 'read' call function"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/14-Create-A-For-Loop/solution.hide.py,solution.hide.py,standards_maker,,1,4,2,A,1,46,12,2.0,A2,1.2173913043478262,"{""A1"": 36, ""A2"": 10}","{""Simple Assignment"": 12, ""Print"": 7, ""Import"": 5, ""Alias"": 5, ""'range' call function"": 5, ""Simple For Loop"": 3, ""Assigment with sum (total = total + 1)"": 2, ""Function"": 2, ""Return"": 2, ""Boolean Operation"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/15-Looping-With-FizzBuzz/test.py,test.py,test_function_existence,,13,17,2,A,1,111,16,4.0,B2,2.027027027027027,"{""A2"": 51, ""A1"": 32, ""B1"": 21, ""B2"": 7}","{""Simple Atributte"": 38, ""'raise' exception"": 10, ""Except Handler"": 10, ""Simple Assignment"": 10, ""Exception --> try/except"": 8, ""'assert' exception"": 7, ""Alias"": 6, ""From"": 5, ""Files --> 'open' call function"": 4, ""Files --> 'read' call function"": 3}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/15-Looping-With-FizzBuzz/test.py,test.py,test_for_loop,,20,23,2,A,1,100,16,5.0,C1,1.88,"{""A2"": 59, ""A1"": 31, ""B2"": 7, ""B1"": 2, ""C1"": 1}","{""Simple Atributte"": 44, ""Simple Assignment"": 19, ""'assert' exception"": 7, ""Files --> 'open' call function"": 7, ""Files --> 'read' call function"": 6, ""Subscript"": 3, ""From"": 2, ""Alias"": 2, ""Function with Simple argument"": 2, ""Assigment with sum (total = total + 1)"": 2}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/15-Looping-With-FizzBuzz/test.py,test.py,test_for_function_output,,27,27,2,A,1,13,6,4.0,B2,2.3076923076923075,"{""A2"": 8, ""B2"": 3, ""A1"": 2}","{""Simple Atributte"": 6, ""'assert' exception"": 3, ""Boolean Operation"": 1, ""From"": 1, ""Alias"": 1, ""Files --> 'open' call function"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/15-Looping-With-FizzBuzz/solution.hide.py,solution.hide.py,fizz_buzz,,1,11,6,B,2,97,15,2.0,A2,1.175257731958763,"{""A1"": 80, ""A2"": 17}","{""Simple Assignment"": 21, ""Print"": 20, ""Function"": 10, ""Return"": 8, ""Import"": 5, ""Alias"": 5, ""'range' call function"": 5, ""Simple For Loop"": 5, ""Simple If statements"": 5, ""Simple Atributte"": 4}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/01-Console/test.py,test.py,test_for_file_output,,11,16,2,A,1,107,14,4.0,B2,1.9532710280373833,"{""A2"": 66, ""A1"": 25, ""B1"": 12, ""B2"": 4}","{""Simple Atributte"": 55, ""Simple Assignment"": 8, ""'raise' exception"": 6, ""From"": 5, ""Alias"": 5, ""Exception --> try/except"": 5, ""Except Handler"": 5, ""'assert' exception"": 4, ""Function with Simple argument"": 4, ""Files --> 'open' call function"": 3}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/01-Console/test.py,test.py,test_for_console_log,,20,20,2,A,1,18,5,2.0,A2,1.7777777777777777,"{""A2"": 14, ""A1"": 4}","{""Simple Atributte"": 13, ""Simple Assignment"": 2, ""Assigment with sum (total = total + 1)"": 1, ""Subscript"": 1, ""Files --> 'open' call function"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/02-Declare-Variables/test.py,test.py,test_for_print,,12,16,2,A,1,91,14,4.0,B2,1.945054945054945,"{""A2"": 52, ""A1"": 24, ""B1"": 11, ""B2"": 4}","{""Simple Atributte"": 41, ""Simple Assignment"": 8, ""From"": 5, ""Alias"": 5, ""'raise' exception"": 5, ""Exception --> try/except"": 5, ""Except Handler"": 5, ""'assert' exception"": 4, ""Files --> 'open' call function"": 3, ""Files --> 'read' call function"": 3}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/02-Declare-Variables/test.py,test.py,test_for_variable,,20,24,2,A,1,132,17,5.0,C1,1.9621212121212122,"{""A2"": 71, ""A1"": 41, ""B2"": 14, ""B1"": 5, ""C1"": 1}","{""Simple Atributte"": 55, ""Simple Assignment"": 23, ""'assert' exception"": 14, ""Files --> 'open' call function"": 7, ""Files --> 'read' call function"": 7, ""Function with Simple argument"": 4, ""With"": 4, ""Subscript"": 4, ""Function"": 3, ""From"": 2}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/02-Declare-Variables/test.py,test.py,test_for_file_output,,28,28,2,A,1,21,7,4.0,B2,1.9047619047619047,"{""A2"": 16, ""A1"": 4, ""B2"": 1}","{""Simple Atributte"": 13, ""Simple Assignment"": 3, ""'assert' exception"": 1, ""Files --> 'open' call function"": 1, ""Files --> 'read' call function"": 1, ""From"": 1, ""Alias"": 1}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/12-Rand-From-One-to-Twelve/test.py,test.py,test_function_existence,,13,17,2,A,1,111,16,4.0,B2,2.027027027027027,"{""A2"": 51, ""A1"": 32, ""B1"": 21, ""B2"": 7}","{""Simple Atributte"": 38, ""'raise' exception"": 10, ""Except Handler"": 10, ""Simple Assignment"": 10, ""Exception --> try/except"": 8, ""'assert' exception"": 7, ""Alias"": 6, ""From"": 5, ""Files --> 'open' call function"": 4, ""Files --> 'read' call function"": 3}"
python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/12-Rand-From-One-to-Twelve/test.py,test.py,test_conditional,,20,24,2,A,1,132,17,5.0,C1,1.9621212121212122,"{""A2"": 71, ""A1"": 41, ""B2"": 14, ""B1"": 5, ""C1"": 1}","{""Simple Atributte"": 55, ""Simple Assignment"": 23, ""'assert' exception"": 14, ""Files --> 'open' call function"": 7, ""Files --> 'read' call function"": 7, ""Function with Simple argument"": 4, ""With"": 4, ""Subscript"": 4, ""Function"": 3, ""From"": 2}"
