case,project,file,file_name,type,name,complexity,rank,rank_num,lineno,endline,col_offset,parent,closure_depth,source_file
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/17-Russian-Roulette/test.py,test.py,function,test_function_fire_gun,2,A,1,16,16,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/03-Print-Variables-In-The-Console/test.py,test.py,function,test_for_file_output,2,A,1,22,22,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/06-String-Concatenation/test.py,test.py,function,test_for_file_output,2,A,1,39,39,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/06-String-Concatenation/test.py,test.py,function,test_my_var2_value,2,A,1,26,26,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/01-Console/test.py,test.py,function,test_for_console_log,2,A,1,20,20,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/15-Looping-With-FizzBuzz/test.py,test.py,function,test_for_function_output,2,A,1,27,27,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/14-Create-A-For-Loop/test.py,test.py,function,test_variable_exists,2,A,1,13,17,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/17-Russian-Roulette/solution.hide.py,solution.hide.py,function,fire_gun,2,A,1,10,15,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/14-Create-A-For-Loop/test.py,test.py,function,test_for_print,2,A,1,37,40,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/15-Looping-With-FizzBuzz/test.py,test.py,function,test_function_existence,2,A,1,13,17,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/14-Create-A-For-Loop/test.py,test.py,function,test_callTheFunction,2,A,1,44,48,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/14-Create-A-For-Loop/test.py,test.py,function,test_for_loop,2,A,1,20,23,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
