case,origen,tipo,nivel_esperado,motivo
Analisis-CC-PyCEFR,Repositorio propio / herramienta del proyecto,Código propio,B1-C1,Sirve para analizar el código desarrollado durante el TFG y comprobar si la herramienta detecta resultados razonables.
python-beginner-programming-exercises,4GeeksAcademy/python-beginner-programming-exercises,Ejercicios básicos,A1-A2,Aporta ejercicios sencillos para ver cómo se comportan las herramientas con código introductorio.
30-Days-Of-Python,Asabeneh/30-Days-Of-Python,Curso progresivo,A1-B2,Está organizado como material de aprendizaje y permite ver una progresión de dificultad.
python-mini-projects,Python-World/python-mini-projects,Mini proyectos,A2-B2,"Incluye programas pequeños y completos, más cercanos a proyectos prácticos que a ejercicios aislados."
python-algorithms,david-legend/python-algorithms,Algoritmos y estructuras de datos,B1-C2,"Aporta código más algorítmico, con más condiciones, bucles y estructuras de control."
